TX 02000000
RX 20442000000200000c0000006f00000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000000900000000000d0a00000000030c0000021900000000000000000000356900000000025564000000000000000000000000000000
RX 20442000000200000c0000000900000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000006100000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000006100000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000006100000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000006100000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000006100000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007000000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007000000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007000000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007000000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007000000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700020000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000000000000f040f0443a800000000025564000000000000000000000000000000
